Module ID	Module	Module Category	GCF_000297055.2_ASM29705v2_genomic Module presence	GCF_000971475.1_ASM97147v1_genomic Module presence	bin_1_Betaproteobacteria Module presence	bin_2_Rhizobiales Module presence
M00261	DNA polymerase alpha / primase complex	DNA polymerase	Absent	Absent	Absent	Absent
M00262	DNA polymerase delta complex	DNA polymerase	Absent	Absent	Absent	Absent
M00263	DNA polymerase epsilon complex	DNA polymerase	Absent	Absent	Absent	Absent
M00264	DNA polymerase II complex, archaea	DNA polymerase	Absent	Absent	Absent	Absent
M00265	PTS system, glucose-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Present
M00266	PTS system, maltose/glucose-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00267	PTS system, N-acetylglucosamine-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00268	PTS system, alpha-glucoside-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00269	PTS system, sucrose-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00270	PTS system, trehalose-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00271	PTS system, beta-glucoside-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00272	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
M00273	PTS system, fructose-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Present
M00274	PTS system, mannitol-specific II component	Phosphotransferase system (PTS)	Absent	Absent	Absent	Absent
