Module step	Module	KO id	Module Category	GCF_000297055.2_ASM29705v2_genomic Module step presence	GCF_000971475.1_ASM97147v1_genomic Module step presence	bin_1_Betaproteobacteria Module step presence	bin_2_Rhizobiales Module step presence
M00003+05	Gluconeogenesis, oxaloacetate => fructose-6P	K01803	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00003+06	Gluconeogenesis, oxaloacetate => fructose-6P	((K01623,K01624,K11645)	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00003+07	Gluconeogenesis, oxaloacetate => fructose-6P	(K03841,K02446,K11532,K01086,K04041),K01622)	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00004+01	Pentose phosphate pathway (Pentose phosphate cycle)	(K13937,((K00036,K19243)	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+02	Pentose phosphate pathway (Pentose phosphate cycle)	(K01057,K07404)))	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+03	Pentose phosphate pathway (Pentose phosphate cycle)	K00033	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+04	Pentose phosphate pathway (Pentose phosphate cycle)	K01783	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+05	Pentose phosphate pathway (Pentose phosphate cycle)	(K01807,K01808)	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+06	Pentose phosphate pathway (Pentose phosphate cycle)	K00615	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+07	Pentose phosphate pathway (Pentose phosphate cycle)	K00616	Central carbohydrate metabolism	Present	Present	Present	Present
M00004+08	Pentose phosphate pathway (Pentose phosphate cycle)	(K01810,K06859,K13810,K15916)	Central carbohydrate metabolism	Present	Present	Present	Present
M00005+01	PRPP biosynthesis, ribose 5P => PRPP	K00948	Central carbohydrate metabolism	Present	Present	Present	Present
M00006+01	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K13937,((K00036,K19243)	Central carbohydrate metabolism	Present	Present	Present	Present
M00006+02	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K01057,K07404)))	Central carbohydrate metabolism	Present	Present	Present	Present
M00006+03	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	K00033	Central carbohydrate metabolism	Present	Present	Present	Present
M00007+01	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615	Central carbohydrate metabolism	Present	Present	Present	Present
M00007+02	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	(K00616,K13810)	Central carbohydrate metabolism	Present	Present	Present	Present
M00007+03	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K01783	Central carbohydrate metabolism	Present	Present	Present	Present
M00007+04	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	(K01807,K01808)	Central carbohydrate metabolism	Present	Present	Present	Present
M00008+01	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036	Central carbohydrate metabolism	Absent	Absent	Absent	Present
M00008+02	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	(K01057,K07404)	Central carbohydrate metabolism	Absent	Absent	Absent	Present
M00008+03	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K01690	Central carbohydrate metabolism	Absent	Absent	Absent	Present
M00008+04	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K01625	Central carbohydrate metabolism	Absent	Absent	Absent	Present
M00009+01	Citrate cycle (TCA cycle, Krebs cycle)	K01647	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+02	Citrate cycle (TCA cycle, Krebs cycle)	(K01681,K01682)	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+03	Citrate cycle (TCA cycle, Krebs cycle)	(K00031,K00030)	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+04	Citrate cycle (TCA cycle, Krebs cycle)	(K00164+K00658+K00382,K00174+K00175-K00177-K00176)	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+05	Citrate cycle (TCA cycle, Krebs cycle)	(K01902+K01903,K01899+K01900,K18118)	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+06	Citrate cycle (TCA cycle, Krebs cycle)	(K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+07	Citrate cycle (TCA cycle, Krebs cycle)	(K01676,K01679,K01677+K01678)	Central carbohydrate metabolism	Present	Present	Present	Present
M00009+08	Citrate cycle (TCA cycle, Krebs cycle)	(K00026,K00025,K00024,K00116)	Central carbohydrate metabolism	Present	Present	Present	Present
M00010+01	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K01647	Central carbohydrate metabolism	Present	Present	Present	Present
M00010+02	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01681,K01682)	Central carbohydrate metabolism	Present	Present	Present	Present
M00010+03	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K00031,K00030)	Central carbohydrate metabolism	Present	Present	Present	Present
M00011+01	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00164+K00658+K00382,K00174+K00175-K00177-K00176)	Central carbohydrate metabolism	Present	Present	Present	Present
M00011+02	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K01902+K01903,K01899+K01900,K18118)	Central carbohydrate metabolism	Present	Present	Present	Present
M00011+03	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)	Central carbohydrate metabolism	Present	Present	Present	Present
M00011+04	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K01676,K01679,K01677+K01678)	Central carbohydrate metabolism	Present	Present	Present	Present
M00011+05	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00026,K00025,K00024,K00116)	Central carbohydrate metabolism	Present	Present	Present	Present
M00012+01	Glyoxylate cycle	K01647	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00012+02	Glyoxylate cycle	(K01681,K01682)	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00012+03	Glyoxylate cycle	K01637	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00012+04	Glyoxylate cycle	(K01638,K19282)	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00012+05	Glyoxylate cycle	(K00026,K00025,K00024)	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00013+01	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K00249	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00013+02	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K07511,K07514,K07515)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00013+03	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K05605	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00013+05	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K00140	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+01	Glucuronate pathway (uronate pathway)	K00012	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+02	Glucuronate pathway (uronate pathway)	((K12447	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+03	Glucuronate pathway (uronate pathway)	K16190),(K00699	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+04	Glucuronate pathway (uronate pathway)	(K01195,K14756)))	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+05	Glucuronate pathway (uronate pathway)	K00002	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+06	Glucuronate pathway (uronate pathway)	K13247	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+08	Glucuronate pathway (uronate pathway)	K03331	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+09	Glucuronate pathway (uronate pathway)	(K05351,K00008)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014+10	Glucuronate pathway (uronate pathway)	K00854	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00015+01	Proline biosynthesis, glutamate => proline	(K00931	Arginine and proline metabolism	Present	Present	Present	Present
M00015+02	Proline biosynthesis, glutamate => proline	K00147,K12657)	Arginine and proline metabolism	Present	Present	Present	Present
M00015+04	Proline biosynthesis, glutamate => proline	K00286	Arginine and proline metabolism	Present	Present	Present	Present
M00016+01	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K00928,K12524,K12525,K12526)	Lysine metabolism	Present	Present	Present	Present
M00016+02	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00133	Lysine metabolism	Present	Present	Present	Present
M00016+03	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K01714	Lysine metabolism	Present	Present	Present	Present
M00016+04	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00215	Lysine metabolism	Present	Present	Present	Present
M00016+05	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00674	Lysine metabolism	Present	Present	Present	Present
M00016+06	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K00821,K14267)	Lysine metabolism	Present	Present	Present	Present
M00016+07	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K01439	Lysine metabolism	Present	Present	Present	Present
M00016+08	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K01778	Lysine metabolism	Present	Present	Present	Present
M00016+09	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K01586,K12526)	Lysine metabolism	Present	Present	Present	Present
M00017+01	Methionine biosynthesis, apartate => homoserine => methionine	(K00928,K12524,K12525,K12526)	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00017+02	Methionine biosynthesis, apartate => homoserine => methionine	K00133	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00017+03	Methionine biosynthesis, apartate => homoserine => methionine	(K00003,K12524,K12525)	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00017+04	Methionine biosynthesis, apartate => homoserine => methionine	K00651	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00017+05	Methionine biosynthesis, apartate => homoserine => methionine	K01739	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00017+06	Methionine biosynthesis, apartate => homoserine => methionine	K01760	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00017+07	Methionine biosynthesis, apartate => homoserine => methionine	(K00548,K00549)	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00018+01	Threonine biosynthesis, aspartate => homoserine => threonine	(K00928,K12524,K12525,K12526)	Serine and threonine metabolism	Present	Present	Present	Present
M00018+02	Threonine biosynthesis, aspartate => homoserine => threonine	K00133	Serine and threonine metabolism	Present	Present	Present	Present
M00018+03	Threonine biosynthesis, aspartate => homoserine => threonine	(K00003,K12524,K12525)	Serine and threonine metabolism	Present	Present	Present	Present
M00018+04	Threonine biosynthesis, aspartate => homoserine => threonine	(K00872,K02204,K02203)	Serine and threonine metabolism	Present	Present	Present	Present
M00018+05	Threonine biosynthesis, aspartate => homoserine => threonine	K01733	Serine and threonine metabolism	Present	Present	Present	Present
M00019+01	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	K01652+(K01653,K11258)	Branched-chain amino acid metabolism	Present	Present	Present	Present
M00019+02	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	K00053	Branched-chain amino acid metabolism	Present	Present	Present	Present
M00019+03	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	K01687	Branched-chain amino acid metabolism	Present	Present	Present	Present
M00019+04	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	K00826	Branched-chain amino acid metabolism	Present	Present	Present	Present
M00020+01	Serine biosynthesis, glycerate-3P => serine	K00058	Serine and threonine metabolism	Absent	Absent	Absent	Present
M00020+02	Serine biosynthesis, glycerate-3P => serine	K00831	Serine and threonine metabolism	Absent	Absent	Absent	Present
M00020+03	Serine biosynthesis, glycerate-3P => serine	K01079	Serine and threonine metabolism	Absent	Absent	Absent	Present
M00021+01	Cysteine biosynthesis, serine => cysteine	K00640	Cysteine and methionine metabolism	Present	Present	Present	Present
M00021+02	Cysteine biosynthesis, serine => cysteine	(K01738,K12339,K13034,K17069)	Cysteine and methionine metabolism	Present	Present	Present	Present
M00022+01	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	(K01626,K03856,K13853)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00022+02	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	(((K01735,K13829)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00022+03	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	((K03785,K03786)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00022+04	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	K00014,K13832)),K13830)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00022+05	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	((K00891,K13829)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00022+06	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	K00800,K13830)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00022+07	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	K01736	Aromatic amino acid metabolism	Present	Present	Present	Present
M00023+01	Tryptophan biosynthesis, chorismate => tryptophan	(((K01657+K01658,K13503,K13501,K01656)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00023+02	Tryptophan biosynthesis, chorismate => tryptophan	K00766),K13497)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00023+03	Tryptophan biosynthesis, chorismate => tryptophan	((K01817	Aromatic amino acid metabolism	Present	Present	Present	Present
M00023+04	Tryptophan biosynthesis, chorismate => tryptophan	(K01656,K01609)),K13498,K13501)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00023+05	Tryptophan biosynthesis, chorismate => tryptophan	(K01695+(K01696,K06001),K01694)	Aromatic amino acid metabolism	Present	Present	Present	Present
M00024+01	Phenylalanine biosynthesis, chorismate => phenylalanine	((K01850,K04092,K14187,K04093,K04516,K06208,K06209,K13853)	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00024+02	Phenylalanine biosynthesis, chorismate => phenylalanine	(K01713,K04518,K05359),K14170)	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00024+03	Phenylalanine biosynthesis, chorismate => phenylalanine	(K00832,K00838)	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00025+01	Tyrosine biosynthesis, chorismate => tyrosine	((K01850,K04092,K14170,K04093,K04516,K06208,K06209,K13853)	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00025+02	Tyrosine biosynthesis, chorismate => tyrosine	(K00210,K04517),K14187)	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00025+03	Tyrosine biosynthesis, chorismate => tyrosine	(K00815,K00832,K00838)	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00026+01	Histidine biosynthesis, PRPP => histidine	(K00765-K02502)	Histidine metabolism	Present	Present	Present	Absent
M00026+02	Histidine biosynthesis, PRPP => histidine	(K01523	Histidine metabolism	Present	Present	Present	Absent
M00026+03	Histidine biosynthesis, PRPP => histidine	K01496,K11755,K14152)	Histidine metabolism	Present	Present	Present	Absent
M00026+04	Histidine biosynthesis, PRPP => histidine	K01814	Histidine metabolism	Present	Present	Present	Absent
M00026+05	Histidine biosynthesis, PRPP => histidine	(K02501+K02500,K01663)	Histidine metabolism	Present	Present	Present	Absent
M00026+06	Histidine biosynthesis, PRPP => histidine	((K01693	Histidine metabolism	Present	Present	Present	Absent
M00026+07	Histidine biosynthesis, PRPP => histidine	K00817	Histidine metabolism	Present	Present	Present	Absent
M00026+08	Histidine biosynthesis, PRPP => histidine	(K04486,K05602,K18649)),(K01089	Histidine metabolism	Present	Present	Present	Absent
M00026+09	Histidine biosynthesis, PRPP => histidine	K00817))	Histidine metabolism	Present	Present	Present	Absent
M00026+10	Histidine biosynthesis, PRPP => histidine	(K00013,K14152)	Histidine metabolism	Present	Present	Present	Absent
M00027+01	GABA (gamma-Aminobutyrate) shunt	K01580	Other amino acid metabolism	Absent	Absent	Absent	Absent
M00027+02	GABA (gamma-Aminobutyrate) shunt	(K13524,K07250,K00823,K16871)	Other amino acid metabolism	Absent	Absent	Absent	Absent
M00027+03	GABA (gamma-Aminobutyrate) shunt	(K00135,K00139)	Other amino acid metabolism	Absent	Absent	Absent	Absent
M00028+01	Ornithine biosynthesis, glutamate => ornithine	(K00619,K00620,K00618,K11067,K14681,K14682)	Arginine and proline metabolism	Present	Present	Present	Present
M00028+02	Ornithine biosynthesis, glutamate => ornithine	(K00930	Arginine and proline metabolism	Present	Present	Present	Present
M00028+03	Ornithine biosynthesis, glutamate => ornithine	K00145,K12659)	Arginine and proline metabolism	Present	Present	Present	Present
M00028+04	Ornithine biosynthesis, glutamate => ornithine	(K00818,K00821)	Arginine and proline metabolism	Present	Present	Present	Present
M00028+05	Ornithine biosynthesis, glutamate => ornithine	(K01438,K14677,K00620)	Arginine and proline metabolism	Present	Present	Present	Present
M00029+01	Urea cycle	K01948	Arginine and proline metabolism	Absent	Present	Absent	Absent
M00029+02	Urea cycle	K00611	Arginine and proline metabolism	Absent	Present	Absent	Absent
M00029+03	Urea cycle	K01940	Arginine and proline metabolism	Absent	Present	Absent	Absent
M00029+04	Urea cycle	(K01755,K14681)	Arginine and proline metabolism	Absent	Present	Absent	Absent
M00029+05	Urea cycle	K01476	Arginine and proline metabolism	Absent	Present	Absent	Absent
M00030+01	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K01655	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+02	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K17450	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+03	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K01705	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+04	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K05824	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+05	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K00838	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+06	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K00143	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+07	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K00293	Lysine metabolism	Absent	Absent	Absent	Absent
M00030+08	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K00290	Lysine metabolism	Absent	Absent	Absent	Absent
M00031+01	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05826,K05827	Lysine metabolism	Absent	Absent	Absent	Absent
M00031+02	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05828	Lysine metabolism	Absent	Absent	Absent	Absent
M00031+03	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05829	Lysine metabolism	Absent	Absent	Absent	Absent
M00031+04	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05830	Lysine metabolism	Absent	Absent	Absent	Absent
M00031+05	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05831	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+01	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	(K00290	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+02	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K00293,K14157)	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+03	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K14085	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+04	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K00825	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+05	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K00164	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+06	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K00658	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+07	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K00252	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+08	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	(K01825,K01782,K07514,(K01692,K07515,K07511)	Lysine metabolism	Absent	Absent	Absent	Absent
M00032+09	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K00022)	Lysine metabolism	Absent	Absent	Absent	Absent
M00033+01	Ectoine biosynthesis, aspartate => ectoine	K00928	Serine and threonine metabolism	Absent	Absent	Absent	Absent
M00033+02	Ectoine biosynthesis, aspartate => ectoine	K00133	Serine and threonine metabolism	Absent	Absent	Absent	Absent
M00033+03	Ectoine biosynthesis, aspartate => ectoine	K00836	Serine and threonine metabolism	Absent	Absent	Absent	Absent
M00033+04	Ectoine biosynthesis, aspartate => ectoine	K06718	Serine and threonine metabolism	Absent	Absent	Absent	Absent
M00033+05	Ectoine biosynthesis, aspartate => ectoine	K06720	Serine and threonine metabolism	Absent	Absent	Absent	Absent
M00034+01	Methionine salvage pathway	K00789	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+02	Methionine salvage pathway	K01611	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+03	Methionine salvage pathway	K00797	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+04	Methionine salvage pathway	((K01243,K18284,K01244)	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+05	Methionine salvage pathway	K00899,K00772)	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+06	Methionine salvage pathway	K08963	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+07	Methionine salvage pathway	(K16054,K08964	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+08	Methionine salvage pathway	(K09880,K08965	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+09	Methionine salvage pathway	K08966))	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+10	Methionine salvage pathway	K08967	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00034+11	Methionine salvage pathway	(K00815,K08969,K00832,K00838)	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00035+01	Methionine degradation	K00789	Cysteine and methionine metabolism	Present	Absent	Absent	Present
M00035+02	Methionine degradation	(K00558,K17398,K17399)	Cysteine and methionine metabolism	Present	Absent	Absent	Present
M00035+03	Methionine degradation	K01251	Cysteine and methionine metabolism	Present	Absent	Absent	Present
M00035+04	Methionine degradation	(K01697,K10150)	Cysteine and methionine metabolism	Present	Absent	Absent	Present
M00036+01	Leucine degradation, leucine => acetoacetate + acetyl-CoA	K00826	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00036+02	Leucine degradation, leucine => acetoacetate + acetyl-CoA	((K00166+K00167,K11381)+K09699+K00382)	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00036+03	Leucine degradation, leucine => acetoacetate + acetyl-CoA	(K00253,K00249)	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00036+04	Leucine degradation, leucine => acetoacetate + acetyl-CoA	(K01968+K01969)	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00036+05	Leucine degradation, leucine => acetoacetate + acetyl-CoA	(K05607,K13766)	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00036+06	Leucine degradation, leucine => acetoacetate + acetyl-CoA	K01640	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00037+01	Melatonin biosynthesis, tryptophan => serotonin => melatonin	K00502	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00037+02	Melatonin biosynthesis, tryptophan => serotonin => melatonin	K01593	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00037+03	Melatonin biosynthesis, tryptophan => serotonin => melatonin	K00669	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00037+04	Melatonin biosynthesis, tryptophan => serotonin => melatonin	K00543	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
