#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_965_4            -          K00333               -           1.9e-192  639.8   5.1  2.4e-192  639.5   5.1   1.0   1   0   0   1   1   1   1 # 3414 # 4673 # -1 # ID=77_4;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.605
NC_022357.1_1568     -          K00333               -            2.4e-15   55.5   0.0   3.1e-12   45.2   0.0   2.7   2   1   0   2   2   0   2 # 1610717 # 1612198 # -1 # ID=1_1568;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.596
NZ_DF967537.1_20     -          K00333               -            2.1e-14   52.3   0.0   5.8e-12   44.3   0.0   2.7   2   1   0   2   2   0   1 # 15717 # 17198 # -1 # ID=61_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
k99_2140_21          -          K00333               -            6.1e-14   50.8   0.2   1.7e-13   49.4   0.2   1.6   2   0   0   2   2   0   1 # 19519 # 21309 # -1 # ID=243_21;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.639
NC_022357.1_757      -          K00333               -            2.2e-12   45.7   0.1   7.6e-12   43.9   0.1   1.8   2   0   0   2   2   0   1 # 764920 # 766623 # 1 # ID=1_757;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.594
k99_792_4            -          K00333               -            8.1e-12   43.8   0.1   6.3e-11   40.9   0.1   1.9   1   1   0   1   1   0   1 # 2570 # 3484 # 1 # ID=61_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.615
NZ_DF967523.1_43     -          K00333               -            1.6e-11   42.8   0.1   5.9e-11   41.0   0.1   1.8   2   0   0   2   2   0   1 # 45388 # 47091 # 1 # ID=75_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.618
k99_1215_15          -          K00333               -            8.2e-10   37.2   0.4   1.8e-09   36.1   0.2   1.6   2   0   0   2   2   0   1 # 13041 # 14786 # 1 # ID=132_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.666
k99_2306_1           -          K00333               -            5.5e-09   34.5   1.2   4.7e-08   31.4   1.2   1.9   1   1   0   1   1   0   1 # 2 # 700 # -1 # ID=267_1;partial=10;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.668
k99_2140_23          -          K00333               -            2.6e-08   32.3   0.1     0.002   16.2   0.0   2.9   3   0   0   3   3   0   2 # 22722 # 24176 # -1 # ID=243_23;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.732
k99_1076_1           -          K00333               -              0.015   13.3   0.0     0.018   13.0   0.0   1.1   1   0   0   1   1   0   0 # 1 # 765 # 1 # ID=114_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.664
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K00333.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K00333.hmm.total.hmmsearch_result.txt --domT 537.10 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K00333.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:04:17 2020
# [ok]
