#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_189_14           -          K03579               -                  0 1095.1  35.4         0 1094.8  35.4   1.0   1   0   0   1   1   1   1 # 12236 # 14773 # -1 # ID=19_14;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.749
k99_297_28           -          K03579               -             0.0094   13.9   0.3      0.34    8.8   0.0   2.0   2   0   0   2   2   0   1 # 35200 # 35922 # 1 # ID=27_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.704
NZ_DF967548.1_12     -          K03579               -              0.011   13.7   0.0     0.015   13.2   0.0   1.1   1   0   0   1   1   0   0 # 10319 # 11233 # -1 # ID=50_12;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.586
NC_022357.1_2294     -          K03579               -              0.014   13.4   0.0     0.019   12.9   0.0   1.1   1   0   0   1   1   0   0 # 2390492 # 2391406 # -1 # ID=1_2294;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.558
k99_2238_24          -          K03579               -              0.023   12.7   0.0      0.16    9.9   0.0   1.9   2   0   0   2   2   0   0 # 27315 # 28097 # -1 # ID=256_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
NC_022357.1_2632     -          K03579               -               0.03   12.2   0.0     0.045   11.7   0.0   1.2   1   0   0   1   1   0   0 # 2730685 # 2732391 # -1 # ID=1_2632;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.569
k99_1733_16          -          K03579               -              0.033   12.1   0.3       1.3    6.8   0.0   2.0   1   1   1   2   2   0   0 # 11187 # 11936 # -1 # ID=194_16;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.697
NZ_DF967539.1_151    -          K03579               -              0.055   11.4   0.0       0.1   10.5   0.0   1.3   1   0   0   1   1   0   0 # 148948 # 149601 # -1 # ID=59_151;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.576
k99_2033_3           -          K03579               -              0.061   11.2   0.4     0.099   10.5   0.4   1.2   1   0   0   1   1   0   0 # 2336 # 5761 # 1 # ID=191_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NC_022357.1_2583     -          K03579               -              0.062   11.2   0.0       0.1   10.5   0.0   1.2   1   0   0   1   1   0   0 # 2686636 # 2687286 # 1 # ID=1_2583;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
k99_2102_10          -          K03579               -              0.085   10.8   0.0      0.14   10.0   0.0   1.3   1   0   0   1   1   0   0 # 9937 # 10611 # -1 # ID=198_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.599
k99_2146_23          -          K03579               -               0.13   10.1   2.1      0.28    9.0   0.6   1.8   1   1   1   2   2   0   0 # 27810 # 28520 # 1 # ID=244_23;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.667
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03579.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K03579.hmm.total.hmmsearch_result.txt --domT 561.93 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03579.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:06:18 2020
# [ok]
