#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1145_92          -          K00971               -           8.4e-138  459.9   0.0  9.5e-138  459.7   0.0   1.0   1   0   0   1   1   1   1 # 97116 # 98555 # -1 # ID=92_92;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.563
NZ_DF967520.1_47     -          K00971               -            3.9e-05   22.3   0.0   0.00016   20.3   0.0   1.9   2   0   0   2   2   0   1 # 35843 # 36718 # 1 # ID=78_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.506
NZ_DF967529.1_19     -          K00971               -            6.6e-05   21.6   0.0     0.049   12.1   0.0   2.0   2   0   0   2   2   0   2 # 22379 # 23251 # 1 # ID=69_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.567
k99_784_19           -          K00971               -            0.00015   20.4   0.0      0.21   10.0   0.0   2.1   2   0   0   2   2   0   2 # 18740 # 19621 # -1 # ID=79_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.661
NZ_DF967554.1_3      -          K00971               -            0.00024   19.7   0.0      0.21   10.0   0.0   2.0   2   0   0   2   2   0   2 # 1828 # 2691 # 1 # ID=44_3;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.567
NC_022357.1_2859     -          K00971               -            0.00025   19.6   0.0   0.00065   18.3   0.0   1.7   2   0   0   2   2   0   1 # 2974849 # 2975724 # -1 # ID=1_2859;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_022357.1_2380     -          K00971               -            0.00032   19.3   0.4      0.19   10.1   0.1   2.9   3   0   0   3   3   0   1 # 2479375 # 2480598 # 1 # ID=1_2380;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.593
NC_022357.1_1632     -          K00971               -            0.00035   19.2   0.0     0.054   12.0   0.0   2.0   2   0   0   2   2   0   1 # 1680002 # 1680904 # -1 # ID=1_1632;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_DF967522.1_107    -          K00971               -            0.00035   19.2   0.0    0.0023   16.5   0.0   2.0   2   0   0   2   2   0   1 # 113223 # 114098 # -1 # ID=76_107;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.580
NZ_DF967585.1_65     -          K00971               -            0.00061   18.4   0.5     0.013   14.0   0.0   2.6   2   1   0   2   2   0   1 # 68990 # 70315 # -1 # ID=13_65;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.609
NC_022357.1_1950     -          K00971               -             0.0024   16.4   1.3     0.049   12.1   1.2   2.5   1   1   0   1   1   0   1 # 2030866 # 2032191 # -1 # ID=1_1950;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.596
k99_982_7            -          K00971               -             0.0079   14.7   0.3     0.029   12.8   0.3   2.1   1   1   0   1   1   0   1 # 8817 # 10091 # 1 # ID=79_7;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.579
k99_1677_3           -          K00971               -              0.014   13.9   0.0     0.018   13.5   0.0   1.1   1   0   0   1   1   0   0 # 6062 # 6796 # -1 # ID=185_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.687
k99_2134_26          -          K00971               -              0.018   13.5   0.0     0.027   12.9   0.0   1.1   1   0   0   1   1   0   0 # 21106 # 21798 # -1 # ID=205_26;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NZ_DF967539.1_244    -          K00971               -               0.02   13.4   0.0     0.028   12.9   0.0   1.3   1   0   0   1   1   0   0 # 233292 # 233981 # 1 # ID=59_244;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603
NZ_DF967522.1_218    -          K00971               -              0.034   12.6   0.0     0.054   12.0   0.0   1.3   1   1   0   1   1   0   0 # 260317 # 261696 # -1 # ID=76_218;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.555
NC_022357.1_2965     -          K00971               -              0.055   11.9   0.0      0.12   10.8   0.0   1.5   2   0   0   2   2   0   0 # 3113977 # 3115356 # -1 # ID=1_2965;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.544
NZ_DF967522.1_90     -          K00971               -               0.11   10.9   0.0       1.9    6.8   0.1   2.0   2   0   0   2   2   0   0 # 104563 # 105333 # -1 # ID=76_90;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.524
NC_022357.1_2502     -          K00971               -               0.23    9.9   0.0       0.3    9.5   0.0   1.2   1   0   0   1   1   0   0 # 2614354 # 2615043 # -1 # ID=1_2502;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.599
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K00971.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K00971.hmm.total.hmmsearch_result.txt --domT 98.00 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K00971.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:04:39 2020
# [ok]
