#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_938_23           -          K07016               -            4.8e-08   31.9   0.0    0.0031   15.9   0.0   2.8   1   1   1   3   3   0   2 # 22755 # 23771 # -1 # ID=73_23;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.621
NC_022357.1_1865     -          K07016               -              0.005   15.3   0.0    0.0079   14.6   0.0   1.2   1   0   0   1   1   0   1 # 1936609 # 1938048 # -1 # ID=1_1865;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.619
k99_1159_3           -          K07016               -             0.0055   15.2   0.2     0.009   14.4   0.0   1.4   2   0   0   2   2   0   1 # 2766 # 4118 # 1 # ID=94_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.598
NZ_DF967585.1_34     -          K07016               -             0.0061   15.0   0.0     0.008   14.6   0.0   1.1   1   0   0   1   1   0   1 # 38957 # 39814 # 1 # ID=13_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.548
k99_1794_26          -          K07016               -             0.0088   14.5   0.0     0.029   12.8   0.0   1.7   1   1   1   2   2   0   1 # 24848 # 27280 # 1 # ID=158_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NZ_DF967524.1_89     -          K07016               -              0.015   13.7   0.1     0.028   12.8   0.1   1.3   1   1   0   1   1   0   0 # 96048 # 96881 # 1 # ID=74_89;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NZ_DF967535.1_33     -          K07016               -              0.016   13.6   0.0     0.021   13.2   0.0   1.1   1   0   0   1   1   0   0 # 31467 # 32330 # -1 # ID=63_33;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.580
NC_022357.1_2243     -          K07016               -              0.041   12.3   0.3     0.054   11.9   0.3   1.0   1   0   0   1   1   0   0 # 2337321 # 2338154 # 1 # ID=1_2243;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.603
k99_1722_13          -          K07016               -              0.049   12.0   0.6       0.1   10.9   0.0   1.9   2   0   0   2   2   0   0 # 12421 # 14292 # 1 # ID=148_13;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.537
NC_022357.1_1413     -          K07016               -              0.051   12.0   0.0      0.07   11.5   0.0   1.2   1   0   0   1   1   0   0 # 1451692 # 1452555 # 1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.574
k99_907_9            -          K07016               -              0.053   11.9   0.0     0.083   11.2   0.0   1.2   1   0   0   1   1   0   0 # 9018 # 10229 # -1 # ID=70_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.573
NZ_DF967533.1_2      -          K07016               -              0.061   11.7   0.7      0.26    9.6   0.0   2.2   2   1   1   3   3   0   0 # 816 # 1775 # -1 # ID=65_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.531
NC_022357.1_1110     -          K07016               -              0.089   11.1   0.0      0.31    9.4   0.0   1.6   1   1   1   2   2   0   0 # 1131010 # 1134201 # 1 # ID=1_1110;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.565
NC_022357.1_2192     -          K07016               -               0.11   10.8   0.0      0.13   10.6   0.0   1.1   1   0   0   1   1   0   0 # 2275708 # 2276460 # -1 # ID=1_2192;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.570
k99_2217_3           -          K07016               -               0.14   10.5   0.0      0.18   10.1   0.0   1.1   1   0   0   1   1   0   0 # 1651 # 2493 # -1 # ID=211_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K07016.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K07016.hmm.total.hmmsearch_result.txt --domT 128.37 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K07016.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:07:27 2020
# [ok]
