#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1391_1           -          K03484               -            2.2e-68  230.7   0.0   2.4e-68  230.6   0.0   1.0   1   0   0   1   1   0   1 # 3 # 830 # -1 # ID=151_1;partial=10;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.709
k99_1768_37          -          K03484               -            4.8e-12   45.4   0.0   6.2e-12   45.0   0.0   1.1   1   0   0   1   1   0   1 # 33734 # 34720 # 1 # ID=197_37;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.669
k99_839_39           -          K03484               -            0.00019   20.4   0.0   0.00025   20.0   0.0   1.1   1   0   0   1   1   0   1 # 41297 # 42349 # 1 # ID=85_39;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.651
NZ_DF967563.1_140    -          K03484               -              0.001   18.0   0.0    0.0011   17.8   0.0   1.0   1   0   0   1   1   0   1 # 134341 # 134634 # -1 # ID=35_140;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
k99_2005_13          -          K03484               -             0.0027   16.6   0.0    0.0073   15.2   0.0   1.6   2   0   0   2   2   0   1 # 12403 # 13257 # -1 # ID=224_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.705
k99_1819_16          -          K03484               -              0.036   12.9   0.0     0.041   12.7   0.0   1.2   1   0   0   1   1   0   0 # 11659 # 12402 # 1 # ID=204_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.435
k99_2106_25          -          K03484               -              0.097   11.5   0.0      0.19   10.5   0.0   1.5   1   0   0   1   1   0   0 # 23322 # 25223 # 1 # ID=199_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585
k99_364_6            -          K03484               -               0.12   11.2   0.1      0.16   10.7   0.1   1.1   1   0   0   1   1   0   0 # 5336 # 5923 # -1 # ID=36_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.701
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03484.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K03484.hmm.total.hmmsearch_result.txt --domT 323.37 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03484.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:06:13 2020
# [ok]
