#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_DF967538.1_39     -          K02492               -           6.3e-161  536.9  12.3    7e-161  536.8  12.3   1.0   1   0   0   1   1   1   1 # 40651 # 41901 # 1 # ID=60_39;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.632
k99_1403_3           -          K02492               -            3.6e-06   25.5   8.4   6.2e-06   24.8   8.4   1.3   1   0   0   1   1   0   1 # 2017 # 3147 # -1 # ID=152_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.691
k99_2214_23          -          K02492               -            2.2e-05   23.0   5.8   2.9e-05   22.5   5.8   1.1   1   0   0   1   1   0   1 # 17027 # 18145 # -1 # ID=251_23;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.708
NC_022357.1_126      -          K02492               -            2.6e-05   22.7   0.0   3.6e-05   22.2   0.0   1.1   1   0   0   1   1   0   1 # 137723 # 139087 # -1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.481
k99_539_9            -          K02492               -            3.5e-05   22.3   0.4   4.2e-05   22.0   0.4   1.1   1   0   0   1   1   0   1 # 9438 # 10370 # -1 # ID=50_9;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.657
k99_1497_23          -          K02492               -            4.6e-05   21.9   0.1      0.17   10.1   0.0   2.1   2   0   0   2   2   0   2 # 25454 # 26863 # 1 # ID=124_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.652
k99_377_7            -          K02492               -            5.2e-05   21.7   1.1   6.8e-05   21.3   1.1   1.1   1   0   0   1   1   0   1 # 5678 # 6790 # -1 # ID=35_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
NZ_DF967525.1_35     -          K02492               -             0.0001   20.7   0.1   0.00014   20.3   0.1   1.2   1   0   0   1   1   0   1 # 35998 # 37404 # 1 # ID=73_35;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.602
k99_25_3             -          K02492               -            0.00011   20.7   0.1   0.00016   20.1   0.1   1.1   1   0   0   1   1   0   1 # 1968 # 3383 # 1 # ID=1_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.615
NZ_DF967539.1_106    -          K02492               -            0.00015   20.2   0.2   0.00019   19.9   0.2   1.1   1   0   0   1   1   0   1 # 108059 # 108814 # -1 # ID=59_106;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NC_022357.1_423      -          K02492               -             0.0002   19.8   0.0   0.00024   19.5   0.0   1.1   1   0   0   1   1   0   1 # 450953 # 452359 # -1 # ID=1_423;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.575
NC_022357.1_2647     -          K02492               -            0.00025   19.5   0.1   0.00029   19.2   0.1   1.1   1   0   0   1   1   0   1 # 2745762 # 2746517 # 1 # ID=1_2647;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.616
k99_1677_6           -          K02492               -            0.00039   18.8   2.0   0.00057   18.3   2.0   1.1   1   0   0   1   1   0   1 # 11191 # 12639 # -1 # ID=185_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.665
k99_2321_17          -          K02492               -            0.00047   18.5   0.2   0.00056   18.3   0.2   1.1   1   0   0   1   1   0   1 # 15650 # 16396 # -1 # ID=217_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.596
k99_364_3            -          K02492               -            0.00073   17.9   2.6    0.0009   17.6   2.6   1.1   1   0   0   1   1   0   1 # 2128 # 3486 # -1 # ID=36_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.699
k99_784_23           -          K02492               -            0.00081   17.8   0.2     0.085   11.1   0.1   2.1   2   0   0   2   2   0   1 # 23202 # 24620 # -1 # ID=79_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.692
k99_2232_26          -          K02492               -            0.00097   17.5   2.5    0.0012   17.2   2.5   1.1   1   0   0   1   1   0   1 # 23316 # 24410 # -1 # ID=254_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.731
NC_022357.1_2955     -          K02492               -            0.00099   17.5   0.1      0.56    8.4   0.0   2.1   2   0   0   2   2   0   2 # 3102146 # 3103573 # 1 # ID=1_2955;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.602
NC_022357.1_71       -          K02492               -             0.0012   17.3   0.5    0.0012   17.2   0.5   1.0   1   0   0   1   1   0   1 # 80921 # 81388 # -1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.598
k99_1115_30          -          K02492               -             0.0012   17.2   1.4    0.0015   16.9   1.4   1.1   1   0   0   1   1   0   1 # 23338 # 24108 # -1 # ID=122_30;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.722
NZ_DF967563.1_31     -          K02492               -             0.0013   17.1   0.2    0.0017   16.7   0.2   1.1   1   0   0   1   1   0   1 # 28450 # 29370 # 1 # ID=35_31;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.617
NZ_DF967585.1_49     -          K02492               -             0.0017   16.7   1.3    0.0023   16.3   1.3   1.1   1   0   0   1   1   0   1 # 52780 # 53892 # 1 # ID=13_49;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.641
k99_147_1            -          K02492               -              0.002   16.5   0.2    0.0026   16.1   0.2   1.1   1   0   0   1   1   0   1 # 138 # 884 # -1 # ID=9_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636
k99_1999_22          -          K02492               -              0.002   16.4   0.1    0.0028   16.0   0.1   1.1   1   0   0   1   1   0   1 # 19511 # 20530 # 1 # ID=221_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.661
k99_295_17           -          K02492               -             0.0023   16.3   0.2     0.003   15.9   0.2   1.1   1   0   0   1   1   0   1 # 17564 # 18556 # 1 # ID=26_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.691
k99_2146_35          -          K02492               -             0.0028   16.0   2.9    0.0038   15.6   2.9   1.2   1   0   0   1   1   0   1 # 42067 # 42858 # 1 # ID=244_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.736
k99_2141_7           -          K02492               -             0.0038   15.6   2.5    0.0056   15.0   2.5   1.2   1   0   0   1   1   0   1 # 7369 # 8250 # 1 # ID=207_7;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.636
k99_2005_25          -          K02492               -              0.004   15.5   0.4    0.0058   15.0   0.4   1.1   1   0   0   1   1   0   1 # 26013 # 28811 # -1 # ID=224_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.682
NZ_DF967522.1_208    -          K02492               -             0.0046   15.3   0.1       1.6    6.9   0.0   2.1   2   0   0   2   2   0   1 # 248310 # 249746 # 1 # ID=76_208;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.600
k99_1459_2           -          K02492               -             0.0052   15.1   1.6    0.0067   14.7   1.6   1.1   1   0   0   1   1   0   1 # 1997 # 2815 # 1 # ID=161_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.712
NC_022357.1_1735     -          K02492               -             0.0055   15.0   0.0    0.0068   14.7   0.0   1.1   1   0   0   1   1   0   1 # 1802541 # 1803287 # 1 # ID=1_1735;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.593
NZ_DF967528.1_62     -          K02492               -             0.0073   14.6   0.1    0.0091   14.3   0.1   1.1   1   0   0   1   1   0   1 # 63733 # 64479 # 1 # ID=70_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.602
k99_1798_26          -          K02492               -             0.0077   14.5   0.3    0.0098   14.2   0.3   1.1   1   0   0   1   1   0   1 # 25494 # 26336 # -1 # ID=200_26;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.727
k99_1798_35          -          K02492               -               0.01   14.1   0.8     0.015   13.6   0.8   1.2   1   0   0   1   1   0   0 # 37564 # 38361 # 1 # ID=200_35;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.731
k99_775_5            -          K02492               -              0.011   14.0   2.7     0.013   13.8   2.7   1.1   1   0   0   1   1   0   0 # 2801 # 3472 # 1 # ID=77_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.710
k99_1652_16          -          K02492               -              0.014   13.7   5.3     0.018   13.3   5.3   1.3   1   0   0   1   1   0   0 # 14159 # 15175 # -1 # ID=183_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.746
k99_1652_5           -          K02492               -              0.014   13.7   0.1     0.019   13.3   0.1   1.1   1   0   0   1   1   0   0 # 6109 # 7125 # 1 # ID=183_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.689
k99_1221_8           -          K02492               -              0.014   13.6   0.2     0.022   13.0   0.0   1.4   2   0   0   2   2   0   0 # 6253 # 7239 # 1 # ID=133_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.676
NZ_DF967522.1_74     -          K02492               -              0.015   13.6   0.3     0.025   12.8   0.0   1.5   2   0   0   2   2   0   0 # 88889 # 89899 # -1 # ID=76_74;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.528
NC_022357.1_257      -          K02492               -              0.016   13.5   0.0     0.024   12.9   0.0   1.2   1   0   0   1   1   0   0 # 277406 # 278773 # -1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.447
NZ_DF967544.1_8      -          K02492               -              0.017   13.4   0.6     0.017   13.4   0.6   1.4   2   0   0   2   2   0   0 # 6153 # 6983 # -1 # ID=54_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.628
NC_022357.1_812      -          K02492               -              0.023   13.0   0.0     0.034   12.4   0.0   1.2   1   0   0   1   1   0   0 # 821809 # 822825 # 1 # ID=1_812;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.549
NZ_DF967523.1_117    -          K02492               -              0.024   12.9   0.0     0.035   12.3   0.0   1.2   1   0   0   1   1   0   0 # 126134 # 127150 # 1 # ID=75_117;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.567
k99_295_15           -          K02492               -              0.028   12.7   1.8     0.036   12.3   1.8   1.1   1   0   0   1   1   0   0 # 15553 # 16584 # -1 # ID=26_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.693
NZ_DF967531.1_74     -          K02492               -              0.038   12.3   0.5     0.045   12.0   0.5   1.1   1   0   0   1   1   0   0 # 61125 # 61877 # -1 # ID=67_74;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.612
k99_1436_15          -          K02492               -              0.039   12.2   1.1     0.048   11.9   1.1   1.2   1   0   0   1   1   0   0 # 15744 # 16373 # -1 # ID=158_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.708
NC_022357.1_1158     -          K02492               -              0.046   12.0   0.1     0.057   11.7   0.1   1.1   1   0   0   1   1   0   0 # 1189293 # 1190213 # 1 # ID=1_1158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NC_022357.1_537      -          K02492               -              0.046   12.0   0.3     0.054   11.7   0.3   1.1   1   0   0   1   1   0   0 # 562650 # 563411 # 1 # ID=1_537;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.614
NC_022357.1_1542     -          K02492               -              0.054   11.8   0.3     0.074   11.3   0.3   1.2   1   0   0   1   1   0   0 # 1586559 # 1587758 # -1 # ID=1_1542;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.603
NZ_DF967553.1_50     -          K02492               -              0.054   11.7   0.2     0.076   11.3   0.2   1.2   1   0   0   1   1   0   0 # 47972 # 49171 # -1 # ID=45_50;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.627
k99_1794_14          -          K02492               -              0.055   11.7   0.1     0.081   11.2   0.1   1.3   1   0   0   1   1   0   0 # 11770 # 12594 # -1 # ID=158_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.661
k99_1469_58          -          K02492               -               0.06   11.6   0.2     0.078   11.2   0.2   1.1   1   0   0   1   1   0   0 # 57558 # 58439 # 1 # ID=162_58;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.643
k99_1732_26          -          K02492               -              0.069   11.4   0.3       0.1   10.8   0.3   1.1   1   0   0   1   1   0   0 # 25946 # 27199 # -1 # ID=193_26;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.710
k99_1835_41          -          K02492               -              0.072   11.3   0.0     0.097   10.9   0.0   1.1   1   0   0   1   1   0   0 # 42120 # 43058 # 1 # ID=166_41;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.655
k99_1549_7           -          K02492               -              0.074   11.3   0.0     0.096   10.9   0.0   1.1   1   0   0   1   1   0   0 # 7464 # 8033 # 1 # ID=169_7;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.737
k99_2007_6           -          K02492               -              0.079   11.2   0.5      0.11   10.7   0.5   1.2   1   0   0   1   1   0   0 # 6212 # 7411 # -1 # ID=188_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.660
k99_2129_2           -          K02492               -              0.079   11.2   0.8      0.12   10.6   0.8   1.2   1   0   0   1   1   0   0 # 1603 # 2715 # 1 # ID=204_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.654
k99_299_3            -          K02492               -              0.083   11.1   0.1     0.085   11.1   0.1   1.1   1   0   0   1   1   0   0 # 2430 # 3161 # -1 # ID=26_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643
k99_1768_22          -          K02492               -              0.085   11.1   3.0     0.098   10.9   3.0   1.2   1   0   0   1   1   0   0 # 18530 # 19357 # -1 # ID=197_22;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.749
k99_74_2             -          K02492               -              0.095   10.9   1.3      0.13   10.4   1.3   1.2   1   0   0   1   1   0   0 # 1576 # 2334 # -1 # ID=4_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.705
NC_022357.1_2435     -          K02492               -               0.11   10.8   0.5      0.15   10.3   0.5   1.3   1   0   0   1   1   0   0 # 2544050 # 2545438 # -1 # ID=1_2435;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.608
k99_1131_7           -          K02492               -               0.11   10.7   0.0      0.17   10.1   0.0   1.3   1   0   0   1   1   0   0 # 7890 # 9179 # -1 # ID=124_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.726
NC_022357.1_1530     -          K02492               -               0.12   10.6   0.1      0.13   10.5   0.1   1.0   1   0   0   1   1   0   0 # 1574645 # 1575037 # 1 # ID=1_1530;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.499
NZ_DF967524.1_27     -          K02492               -               0.12   10.6   0.3      0.17   10.1   0.3   1.2   1   0   0   1   1   0   0 # 26700 # 27812 # 1 # ID=74_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631
k99_510_2            -          K02492               -               0.12   10.6   1.1      0.15   10.3   1.1   1.1   1   0   0   1   1   0   0 # 805 # 1692 # -1 # ID=57_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.712
NC_022357.1_1181     -          K02492               -               0.13   10.5   0.0       2.9    6.0   0.0   2.0   2   0   0   2   2   0   0 # 1215800 # 1217530 # -1 # ID=1_1181;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.603
k99_839_10           -          K02492               -               0.15   10.3   2.0       0.2    9.8   2.0   1.2   1   0   0   1   1   0   0 # 10218 # 11042 # -1 # ID=85_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.691
k99_306_5            -          K02492               -               0.25    9.5   0.5      0.34    9.1   0.5   1.1   1   0   0   1   1   0   0 # 4338 # 5630 # 1 # ID=28_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.745
k99_1371_9           -          K02492               -               0.47    8.6   5.5      0.63    8.2   5.5   1.2   1   0   0   1   1   0   0 # 8298 # 9056 # -1 # ID=149_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.727
k99_698_34           -          K02492               -               0.72    8.0   3.5      0.24    9.6   0.0   1.8   2   0   0   2   2   0   0 # 31430 # 32839 # -1 # ID=74_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.738
k99_231_2            -          K02492               -                1.3    7.2   5.7     0.065   11.5   0.5   1.4   2   0   0   2   2   0   0 # 465 # 1646 # 1 # ID=21_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.725
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K02492.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K02492.hmm.total.hmmsearch_result.txt --domT 62.87 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K02492.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:05:38 2020
# [ok]
