#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1469_68          -          K01903               -           1.2e-172  574.0   2.0  1.3e-172  573.9   2.0   1.0   1   0   0   1   1   1   1 # 69705 # 70901 # -1 # ID=162_68;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.658
k99_1541_5           -          K01903               -             0.0013   17.0   0.0       0.6    8.2   0.0   2.4   2   0   0   2   2   0   2 # 3243 # 6446 # 1 # ID=133_5;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.633
NZ_DF967533.1_164    -          K01903               -             0.0022   16.3   0.0      0.63    8.1   0.0   2.3   2   0   0   2   2   0   2 # 164058 # 167324 # -1 # ID=65_164;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.603
NZ_DF967555.1_18     -          K01903               -             0.0029   15.8   0.2    0.0047   15.2   0.2   1.2   1   0   0   1   1   0   1 # 19960 # 21255 # -1 # ID=43_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
k99_1082_6           -          K01903               -             0.0039   15.4   0.1    0.0065   14.7   0.1   1.3   1   0   0   1   1   0   1 # 7554 # 8903 # -1 # ID=116_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.670
k99_1436_1           -          K01903               -             0.0051   15.1   0.1    0.0087   14.3   0.1   1.2   1   0   0   1   1   0   1 # 395 # 2404 # -1 # ID=158_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.721
k99_2229_3           -          K01903               -              0.013   13.8   0.0     0.018   13.2   0.0   1.2   1   0   0   1   1   0   0 # 3794 # 5077 # -1 # ID=252_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.721
k99_2176_9           -          K01903               -              0.017   13.4   0.1     0.027   12.7   0.1   1.2   1   0   0   1   1   0   0 # 9370 # 10788 # -1 # ID=209_9;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
k99_2021_14          -          K01903               -              0.017   13.3   0.0     0.024   12.8   0.0   1.1   1   0   0   1   1   0   0 # 15957 # 16886 # -1 # ID=227_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.667
k99_2149_26          -          K01903               -              0.031   12.4   0.0      0.97    7.5   0.0   2.6   3   0   0   3   3   0   0 # 25793 # 29128 # 1 # ID=245_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.669
NZ_DF967553.1_20     -          K01903               -              0.038   12.2   0.1     0.059   11.5   0.1   1.2   1   0   0   1   1   0   0 # 14562 # 16076 # 1 # ID=45_20;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.564
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K01903.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K01903.hmm.total.hmmsearch_result.txt --domT 492.57 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K01903.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:05:13 2020
# [ok]
