#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_291_8            -          K00343               -             5e-166  553.1  61.5  5.5e-166  553.0  61.5   1.0   1   0   0   1   1   1   1 # 7039 # 8487 # 1 # ID=24_8;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=3-4bp;gc_cont=0.571
k99_1798_10          -          K00343               -            6.3e-30  104.0  40.4   6.3e-30  104.0  40.4   1.9   1   1   1   2   2   0   1 # 8091 # 9278 # -1 # ID=200_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.742
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K00343.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K00343.hmm.total.hmmsearch_result.txt --domT 328.43 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K00343.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:04:18 2020
# [ok]
