#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_2007_2           -          K06207               -                  0 1044.8   0.9         0 1044.6   0.9   1.0   1   0   0   1   1   1   1 # 1844 # 3655 # -1 # ID=188_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.612
NZ_DF967537.1_66     -          K06207               -            2.2e-16   58.7  14.8   3.6e-14   51.4  11.5   3.6   2   1   0   2   2   0   1 # 67280 # 69994 # -1 # ID=61_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_022357.1_1681     -          K06207               -            2.5e-16   58.5  13.8   3.3e-14   51.5  10.6   3.6   2   1   0   2   2   0   1 # 1736905 # 1739622 # -1 # ID=1_1681;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
k99_1722_3           -          K06207               -            1.1e-13   49.8  16.9   4.4e-12   44.4  12.0   3.7   2   1   0   2   2   0   1 # 2231 # 4864 # 1 # ID=148_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.573
NZ_DF967528.1_159    -          K06207               -            7.5e-11   40.4   0.0   1.4e-10   39.5   0.0   1.3   1   0   0   1   1   0   1 # 155297 # 157180 # -1 # ID=70_159;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.665
k99_2312_1           -          K06207               -            2.5e-06   25.4   0.1   2.5e-06   25.4   0.1   1.0   1   0   0   1   1   0   1 # 1 # 201 # -1 # ID=268_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
k99_1543_13          -          K06207               -            0.00031   18.5   0.3   0.00031   18.5   0.3   1.0   1   0   0   1   1   0   1 # 15603 # 15698 # 1 # ID=134_13;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.552
k99_82_11            -          K06207               -            0.00031   18.5   0.3   0.00031   18.5   0.3   1.0   1   0   0   1   1   0   1 # 9489 # 9584 # 1 # ID=5_11;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.552
NZ_DF967531.1_1      -          K06207               -            0.00044   18.0   0.3   0.00044   18.0   0.3   1.0   1   0   0   1   1   0   1 # 2 # 91 # -1 # ID=67_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.567
NZ_DF967551.1_1      -          K06207               -            0.00044   18.0   0.3   0.00044   18.0   0.3   1.0   1   0   0   1   1   0   1 # 2 # 91 # -1 # ID=47_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.567
NC_022357.1_517      -          K06207               -              0.001   16.8   0.0    0.0015   16.2   0.0   1.1   1   0   0   1   1   0   1 # 543911 # 545107 # 1 # ID=1_517;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NC_022357.1_1759     -          K06207               -             0.0034   15.0   1.2       2.1    5.9   0.3   3.0   2   1   0   3   3   0   1 # 1826472 # 1827869 # -1 # ID=1_1759;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603
NZ_DF967528.1_85     -          K06207               -             0.0047   14.6   0.8       1.3    6.6   0.2   2.9   2   1   0   3   3   0   1 # 87581 # 88978 # -1 # ID=70_85;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.594
k99_604_17           -          K06207               -              0.024   12.2   0.4       4.7    4.7   0.2   3.0   2   1   0   3   3   0   0 # 16849 # 18234 # 1 # ID=52_17;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.620
NZ_DF967531.1_103    -          K06207               -               0.04   11.5   0.0     0.057   11.0   0.0   1.1   1   0   0   1   1   0   0 # 90431 # 91624 # -1 # ID=67_103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.590
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K06207.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K06207.hmm.total.hmmsearch_result.txt --domT 357.33 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K06207.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:07:08 2020
# [ok]
